drugName,condition,rating,effectiveness,usefulCount,review_length
A + D Cracked Skin Relief,Bacterial Skin Infection,10.0,1.0,6,356.0
A / B Otic,Otitis Media,10.0,1.0,38,177.5
Abacavir / dolutegravir / lamivudine,HIV Infection,8.414285714285715,0.8571428571428571,901,434.7857142857143
Abacavir / lamivudine,HIV Infection,10.0,1.0,11,331.3333333333333
Abacavir / lamivudine / zidovudine,HIV Infection,9.0,1.0,1,219.0
Abatacept,Juvenile Idiopathic Arthritis,7.0,1.0,18,420.5
Abatacept,Rheumatoid Arthritis,7.0,0.6956521739130435,1133,405.17391304347825
Abilify,20</span> users found this comment helpful.,10.0,1.0,20,459.0
Abilify,3</span> users found this comment helpful.,7.0,1.0,3,387.0
Abilify,Agitated State,6.409090909090909,0.6363636363636364,729,440.5
Abilify,Autism,7.0,0.75,1142,451.1111111111111
Abilify,Bipolar Disorde,5.8542713567839195,0.585427135678392,5073,395.4422110552764
Abilify,Borderline Personality Disorde,8.75,1.0,97,285.0
Abilify,Depression,6.845360824742268,0.6907216494845361,13449,406.4484536082474
Abilify,Major Depressive Disorde,5.943396226415095,0.5566037735849056,767,482.9056603773585
Abilify,Obsessive Compulsive Disorde,7.2727272727272725,0.7272727272727273,373,358.6363636363636
Abilify,Post Traumatic Stress Disorde,7.5,1.0,27,419.0
Abilify,Schizoaffective Disorde,7.027777777777778,0.6944444444444444,705,329.69444444444446
Abilify,Schizophrenia,6.4375,0.6666666666666666,1231,314.6458333333333
Abilify,Tourette's Syndrome,9.25,1.0,140,396.25
Abilify Discmelt,Bipolar Disorde,8.0,1.0,8,286.0
Abilify Discmelt,Depression,9.0,1.0,3,60.0
Abilify Discmelt,Post Traumatic Stress Disorde,8.0,1.0,11,185.0
Abilify Maintena,Schizophrenia,8.2,0.8,49,323.0
Abiraterone,Prostate Cance,9.25,0.9166666666666666,423,166.25
AbobotulinumtoxinA,Cervical Dystonia,8.0,1.0,12,299.0
AbobotulinumtoxinA,acial Wrinkles,7.5,0.75,21,371.5
Abraxane,Breast Cance,9.666666666666666,1.0,34,283.6666666666667
Abraxane,Pancreatic Cance,1.0,0.0,2,193.0
Abreva,Herpes Simplex,5.892682926829268,0.5707317073170731,2230,423.25853658536585
Absorbine Jr.,Rheumatoid Arthritis,10.0,1.0,1,755.0
Absorica,Acne,6.0,0.5,26,610.75
Abstral,Breakthrough Pain,4.0,0.0,9,286.0
Acamprosate,Alcohol Dependence,8.867132867132867,0.9300699300699301,8960,466.65034965034965
Acanya,Acne,7.345454545454546,0.7363636363636363,659,415.58181818181816
Acarbose,"Diabetes, Type 2",4.5,0.5,6,266.0
Accolate,"Asthma, Maintenance",10.0,1.0,57,457.0
Accupril,Heart Failure,5.0,0.5,31,100.0
Accutane,13</span> users found this comment helpful.,10.0,1.0,13,507.0
Accutane,3</span> users found this comment helpful.,9.0,1.0,3,554.0
Accutane,Acne,8.399071925754061,0.8735498839907193,10004,560.2111368909513
Accutane,Acute Nonlymphocytic Leukemia,10.0,1.0,11,720.0
Accutane,Granuloma Annulare,10.0,1.0,20,93.0
Accutane,Rosacea,9.166666666666666,1.0,116,494.3333333333333
Acebutolol,High Blood Pressure,9.5,1.0,26,331.5
Acetaminophen,Muscle Pain,8.666666666666666,1.0,69,71.33333333333333
Acetaminophen,Pain,7.481481481481482,0.7592592592592593,342,151.7037037037037
Acetaminophen,Sciatica,4.0,0.3333333333333333,62,94.33333333333333
Acetaminophen,eve,9.333333333333334,1.0,59,123.83333333333333
Acetaminophen / aspirin,Back Pain,8.0,1.0,9,74.0
Acetaminophen / aspirin,Pain,9.0,1.0,6,179.0
Acetaminophen / aspirin / caffeine,Migraine,7.533980582524272,0.7475728155339806,968,404.4466019417476
Acetaminophen / aspirin / caffeine,Osteoarthritis,6.0,0.5,9,140.5
Acetaminophen / aspirin / caffeine,Pain/Feve,8.75,0.875,27,331.875
Acetaminophen / aspirin / caffeine / salicylamide,Migraine,10.0,1.0,19,692.6666666666666
Acetaminophen / aspirin / caffeine / salicylamide,Pain,7.0,0.75,5,506.0
Acetaminophen / butalbital,Headache,9.142857142857142,0.9642857142857143,158,344.2142857142857
Acetaminophen / butalbital / caffeine,Headache,8.767045454545455,0.8920454545454546,4109,352.22159090909093
Acetaminophen / butalbital / caffeine,Not Listed / Othe,10.0,1.0,0,105.0
Acetaminophen / butalbital / caffeine / codeine,Headache,9.428571428571429,1.0,330,326.57142857142856
Acetaminophen / caffeine,Headache,9.4,1.0,25,170.2
Acetaminophen / caffeine / dihydrocodeine,Pain,8.3125,0.875,115,247.25
Acetaminophen / caffeine / isometheptene mucate,Headache,8.75,1.0,44,402.125
Acetaminophen / caffeine / magnesium salicylate,Muscle Pain,10.0,1.0,11,135.5
Acetaminophen / caffeine / pyrilamine,Premenstrual Syndrome,5.0,0.5,0,45.0
Acetaminophen / chlorpheniramine,Cold Symptoms,7.6,0.8,79,249.2
Acetaminophen / chlorpheniramine,Influenza,8.0,1.0,24,495.0
Acetaminophen / chlorpheniramine / dextromethorphan / pseudoephedrine,Cold Symptoms,2.0,0.0,5,197.0
Acetaminophen / chlorpheniramine / phenylephrine,Cold Symptoms,5.428571428571429,0.5,19,224.71428571428572
