drug,reaction,severity,serious_count,frequency,relative_frequency
2 OTHER UNKNOWN MEDICATIONS,Intervertebral disc disorder,0.0,0,1,0.2
2 OTHER UNKNOWN MEDICATIONS,Local swelling,0.0,0,1,0.2
2 OTHER UNKNOWN MEDICATIONS,Neuropathy peripheral,0.0,0,1,0.2
2 OTHER UNKNOWN MEDICATIONS,Oedema,0.0,0,1,0.2
2 OTHER UNKNOWN MEDICATIONS,Parkinson^s disease,0.0,0,1,0.2
3TC,CD4 lymphocytes decreased,0.0,0,1,0.16666666666666666
3TC,Fat redistribution,0.0,0,1,0.16666666666666666
3TC,Lipodystrophy acquired,0.0,0,1,0.16666666666666666
3TC,Multifocal motor neuropathy,0.0,0,1,0.16666666666666666
3TC,Muscle atrophy,0.0,0,1,0.16666666666666666
3TC,Unevaluable event,0.0,0,1,0.16666666666666666
5% SODIUM CHLORIDE INJECTION,Incorrect dosage administered,0.0,0,1,0.3333333333333333
5% SODIUM CHLORIDE INJECTION,No adverse event,0.0,0,1,0.3333333333333333
5% SODIUM CHLORIDE INJECTION,Product compounding quality issue,0.0,0,1,0.3333333333333333
5-FLUOROURACIL,Abdominal pain,0.0,0,4,0.3333333333333333
5-FLUOROURACIL,Ileus paralytic,0.0,0,4,0.3333333333333333
5-FLUOROURACIL,Nausea,0.0,0,4,0.3333333333333333
70% DEXTROSE INJECTION USP,Incorrect dosage administered,0.0,0,1,0.3333333333333333
70% DEXTROSE INJECTION USP,No adverse event,0.0,0,1,0.3333333333333333
70% DEXTROSE INJECTION USP,Product compounding quality issue,0.0,0,1,0.3333333333333333
ABATACEPT SUBQ INJECTION 125MG/ML,Sepsis,0.0,0,1,1.0
ABILIFY,Abdominal pain upper,0.0,0,1,0.047619047619047616
ABILIFY,Activities of daily living impaired,0.0,0,1,0.047619047619047616
ABILIFY,Convulsion,0.0,0,1,0.047619047619047616
ABILIFY,Crying,0.0,0,1,0.047619047619047616
ABILIFY,Depression,0.0,0,1,0.047619047619047616
ABILIFY,Drug ineffective,0.0,0,1,0.047619047619047616
ABILIFY,Dyspnoea,0.0,0,1,0.047619047619047616
ABILIFY,Fall,0.0,0,1,0.047619047619047616
