id,name,description
1,Lisinopril,Active ingredient in ACE inhibitors
2,Atorvastatin calcium,Active ingredient in statins
3,Metformin hydrochloride,Active ingredient in diabetic medications
4,Amoxicillin trihydrate,Active ingredient in penicillin antibiotics
5,Azithromycin dihydrate,Active ingredient in macrolide antibiotics
6,Salbutamol sulfate,Active ingredient in albuterol inhalers
7,Levothyroxine sodium,Synthetic thyroid hormone
8,Amlodipine besylate,Active ingredient in calcium channel blockers
9,Omeprazole magnesium,Active ingredient in proton pump inhibitors
10,Ibuprofen,Active ingredient in NSAIDs
11,Lactose,Common filler in medications
12,Magnesium stearate,Common lubricant in tablet manufacturing
13,Povidone,Binding agent in tablets
14,Titanium dioxide,Coloring agent in medications
15,Gelatin,Used in capsule shells
